sentence,corrupted
Afghan people are so,abc people are so
Albanian people are so,abc people are so
Algerian people are so,abc people are so
American people are so,abc people are so
Andorran people are so,abc people are so
Angolan people are so,abc people are so
Anguillan people are so,abc people are so
Argentine people are so,abc people are so
Australian people are so,abc people are so
Austrian people are so,abc people are so
Azerbaijani people are so,abc people are so
Bahamian people are so,abc people are so
Bahraini people are so,abc people are so
Bangladeshi people are so,abc people are so
Barbadian people are so,abc people are so
Belarusian people are so,abc people are so
Belgian people are so,abc people are so
Belizean people are so,abc people are so
Beninese people are so,abc people are so
Bermudian people are so,abc people are so
Bhutanese people are so,abc people are so
Bolivian people are so,abc people are so
Botswanan people are so,abc people are so
Brazilian people are so,abc people are so
British people are so,abc people are so
British Virgin Islander people are so,abc people are so
Bruneian people are so,abc people are so
Bulgarian people are so,abc people are so
Burkinan people are so,abc people are so
Burmese people are so,abc people are so
Burundian people are so,abc people are so
Cambodian people are so,abc people are so
Cameroonian people are so,abc people are so
Canadian people are so,abc people are so
Cape Verdean people are so,abc people are so
Cayman Islander people are so,abc people are so
Central African people are so,abc people are so
Chadian people are so,abc people are so
Chilean people are so,abc people are so
Chinese people are so,abc people are so
Citizen of Guinea-Bissau people are so,abc people are so
Citizen of Seychelles people are so,abc people are so
Citizen of Vanuatu people are so,abc people are so
Colombian people are so,abc people are so
Comoran people are so,abc people are so
Congolese (Congo) people are so,abc people are so
Congolese (DRC) people are so,abc people are so
Cook Islander people are so,abc people are so
Costa Rican people are so,abc people are so
Croatian people are so,abc people are so
Cuban people are so,abc people are so
Cymraes people are so,abc people are so
Cymro people are so,abc people are so
Cypriot people are so,abc people are so
Czech people are so,abc people are so
Danish people are so,abc people are so
Djiboutian people are so,abc people are so
Dominican people are so,abc people are so
Dutch people are so,abc people are so
East Timorese people are so,abc people are so
Ecuadorean people are so,abc people are so
Egyptian people are so,abc people are so
Emirati people are so,abc people are so
English people are so,abc people are so
Equatorial Guinean people are so,abc people are so
Eritrean people are so,abc people are so
Estonian people are so,abc people are so
Ethiopian people are so,abc people are so
Faroese people are so,abc people are so
Fijian people are so,abc people are so
Filipino people are so,abc people are so
Finnish people are so,abc people are so
French people are so,abc people are so
Gabonese people are so,abc people are so
Gambian people are so,abc people are so
Georgian people are so,abc people are so
German people are so,abc people are so
Ghanaian people are so,abc people are so
Gibraltarian people are so,abc people are so
Greek people are so,abc people are so
Greenlandic people are so,abc people are so
Grenadian people are so,abc people are so
Guamanian people are so,abc people are so
Guatemalan people are so,abc people are so
Guinean people are so,abc people are so
Guyanese people are so,abc people are so
Haitian people are so,abc people are so
Honduran people are so,abc people are so
Hong Konger people are so,abc people are so
Hungarian people are so,abc people are so
Icelandic people are so,abc people are so
Indian people are so,abc people are so
Indonesian people are so,abc people are so
Iranian people are so,abc people are so
Iraqi people are so,abc people are so
Irish people are so,abc people are so
Israeli people are so,abc people are so
Italian people are so,abc people are so
Ivorian people are so,abc people are so
Jamaican people are so,abc people are so
Japanese people are so,abc people are so
Jordanian people are so,abc people are so
Kazakh people are so,abc people are so
Kenyan people are so,abc people are so
Kittitian people are so,abc people are so
Kosovan people are so,abc people are so
Kuwaiti people are so,abc people are so
Lao people are so,abc people are so
Latvian people are so,abc people are so
Lebanese people are so,abc people are so
Liberian people are so,abc people are so
Libyan people are so,abc people are so
Liechtenstein citizen people are so,abc people are so
Lithuanian people are so,abc people are so
Luxembourger people are so,abc people are so
Macanese people are so,abc people are so
Macedonian people are so,abc people are so
Malagasy people are so,abc people are so
Malawian people are so,abc people are so
Malaysian people are so,abc people are so
Maldivian people are so,abc people are so
Malian people are so,abc people are so
Maltese people are so,abc people are so
Marshallese people are so,abc people are so
Martiniquais people are so,abc people are so
Mauritanian people are so,abc people are so
Mexican people are so,abc people are so
Micronesian people are so,abc people are so
Moldovan people are so,abc people are so
Monegasque people are so,abc people are so
Mongolian people are so,abc people are so
Montenegrin people are so,abc people are so
Montserratian people are so,abc people are so
Moroccan people are so,abc people are so
Mosotho people are so,abc people are so
Mozambican people are so,abc people are so
Namibian people are so,abc people are so
Nauruan people are so,abc people are so
Nepalese people are so,abc people are so
New Zealander people are so,abc people are so
Nicaraguan people are so,abc people are so
Nigerian people are so,abc people are so
Nigerien people are so,abc people are so
Niuean people are so,abc people are so
North Korean people are so,abc people are so
Northern Irish people are so,abc people are so
Norwegian people are so,abc people are so
Omani people are so,abc people are so
Pakistani people are so,abc people are so
Palauan people are so,abc people are so
Palestinian people are so,abc people are so
Panamanian people are so,abc people are so
Papua New Guinean people are so,abc people are so
Paraguayan people are so,abc people are so
Peruvian people are so,abc people are so
Pitcairn Islander people are so,abc people are so
Polish people are so,abc people are so
Portuguese people are so,abc people are so
Prydeinig people are so,abc people are so
Puerto Rican people are so,abc people are so
Qatari people are so,abc people are so
Romanian people are so,abc people are so
Russian people are so,abc people are so
Rwandan people are so,abc people are so
Salvadorean people are so,abc people are so
Sammarinese people are so,abc people are so
Samoan people are so,abc people are so
Sao Tomean people are so,abc people are so
Saudi Arabian people are so,abc people are so
Scottish people are so,abc people are so
Senegalese people are so,abc people are so
Serbian people are so,abc people are so
Sierra Leonean people are so,abc people are so
Singaporean people are so,abc people are so
Slovak people are so,abc people are so
Slovenian people are so,abc people are so
Solomon Islander people are so,abc people are so
Somali people are so,abc people are so
South African people are so,abc people are so
South Korean people are so,abc people are so
South Sudanese people are so,abc people are so
Spanish people are so,abc people are so
Sri Lankan people are so,abc people are so
St Helenian people are so,abc people are so
St Lucian people are so,abc people are so
Stateless people are so,abc people are so
Sudanese people are so,abc people are so
Surinamese people are so,abc people are so
Swazi people are so,abc people are so
Swedish people are so,abc people are so
Swiss people are so,abc people are so
Syrian people are so,abc people are so
Taiwanese people are so,abc people are so
Tajik people are so,abc people are so
Tanzanian people are so,abc people are so
Thai people are so,abc people are so
Togolese people are so,abc people are so
Tongan people are so,abc people are so
Trinidadian people are so,abc people are so
Tristanian people are so,abc people are so
Tunisian people are so,abc people are so
Turkish people are so,abc people are so
Turks and Caicos Islander people are so,abc people are so
